bk_jet_1_knot_snapshots_image()
             EmissionRegion,       Intensity, 256px × 256: 0.058800 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,       Intensity, 256px × 256: 0.059788 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,       Intensity, 256px × 256: 0.060899 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,   SpectralIndex, 256px × 256: 0.115840 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,   SpectralIndex, 256px × 256: 0.116949 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,   SpectralIndex, 256px × 256: 0.118216 seconds (2 allocations: 512.047 KiB)
precessing_nozzle_snapshots_image()
             EmissionRegion,       Intensity, 256px × 256: 0.064158 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,       Intensity, 256px × 256: 0.066350 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,       Intensity, 256px × 256: 0.066470 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,   SpectralIndex, 256px × 256: 0.121663 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,   SpectralIndex, 256px × 256: 0.298749 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,   SpectralIndex, 256px × 256: 0.140511 seconds (2 allocations: 512.047 KiB)
