bk_jet_1_knot_snapshots_image()
             EmissionRegion,       Intensity, 512px × 512: 0.012750 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,       Intensity, 512px × 512: 0.010552 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,       Intensity, 512px × 512: 0.013408 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,   SpectralIndex, 512px × 512: 0.022643 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,   SpectralIndex, 512px × 512: 0.022714 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,   SpectralIndex, 512px × 512: 0.021980 seconds (278 allocations: 1.009 MiB)
precessing_nozzle_snapshots_image()
             EmissionRegion,       Intensity, 512px × 512: 0.012829 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,       Intensity, 512px × 512: 0.012640 seconds (280 allocations: 1.009 MiB)
             EmissionRegion,       Intensity, 512px × 512: 0.020081 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,   SpectralIndex, 512px × 512: 0.020847 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,   SpectralIndex, 512px × 512: 0.020983 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,   SpectralIndex, 512px × 512: 0.022484 seconds (278 allocations: 1.009 MiB)
