bk_jet_image()
             EmissionRegion,       Intensity, 256px × 256: 0.665961 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,       Intensity, 256px × 256: 0.074448 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,       Intensity, 256px × 256: 0.022320 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,       Intensity, 256px × 256: 0.066590 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,   SpectralIndex, 256px × 256: 1.152416 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,   SpectralIndex, 256px × 256: 0.146064 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,   SpectralIndex, 256px × 256: 0.054217 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,   SpectralIndex, 256px × 256: 0.148325 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,    OpticalDepth, 256px × 256: 0.434825 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,    OpticalDepth, 256px × 256: 0.056566 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,    OpticalDepth, 256px × 256: 0.019120 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,    OpticalDepth, 256px × 256: 0.056305 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,       Intensity, 256px × 256: 0.488627 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,       Intensity, 256px × 256: 0.063547 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,       Intensity, 256px × 256: 0.022437 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,       Intensity, 256px × 256: 0.066031 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,   SpectralIndex, 256px × 256: 1.066701 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,   SpectralIndex, 256px × 256: 0.146053 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,   SpectralIndex, 256px × 256: 0.050788 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,   SpectralIndex, 256px × 256: 0.138458 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,    OpticalDepth, 256px × 256: 0.422862 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,    OpticalDepth, 256px × 256: 0.215314 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,    OpticalDepth, 256px × 256: 0.018846 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,    OpticalDepth, 256px × 256: 0.056676 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,       Intensity, 256px × 256: 0.516211 seconds (809 allocations: 867.312 KiB)
             EmissionRegion,       Intensity, 256px × 256: 0.116284 seconds (697 allocations: 844.562 KiB)
             EmissionRegion,       Intensity, 256px × 256: 0.055312 seconds (553 allocations: 815.312 KiB)
             EmissionRegion,       Intensity, 256px × 256: 0.104211 seconds (697 allocations: 844.562 KiB)
             EmissionRegion,   SpectralIndex, 256px × 256: 1.043824 seconds (809 allocations: 867.312 KiB)
             EmissionRegion,   SpectralIndex, 256px × 256: 0.228646 seconds (697 allocations: 844.562 KiB)
             EmissionRegion,   SpectralIndex, 256px × 256: 0.131530 seconds (553 allocations: 815.312 KiB)
             EmissionRegion,   SpectralIndex, 256px × 256: 0.248730 seconds (697 allocations: 844.562 KiB)
             EmissionRegion,    OpticalDepth, 256px × 256: 0.395238 seconds (809 allocations: 867.312 KiB)
             EmissionRegion,    OpticalDepth, 256px × 256: 0.085464 seconds (697 allocations: 844.562 KiB)
             EmissionRegion,    OpticalDepth, 256px × 256: 0.047503 seconds (553 allocations: 815.312 KiB)
             EmissionRegion,    OpticalDepth, 256px × 256: 0.085052 seconds (697 allocations: 844.562 KiB)
bk_jet_thick_options_image()
             EmissionRegion,       Intensity, 256px × 256: 0.043513 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,       Intensity, 256px × 256: 0.056523 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,       Intensity, 256px × 256: 0.059591 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,       Intensity, 256px × 256: 0.062549 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,       Intensity, 256px × 256: 0.063248 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,       Intensity, 256px × 256: 0.095262 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,       Intensity, 256px × 256: 0.071138 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,       Intensity, 256px × 256: 0.073355 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,       Intensity, 256px × 256: 0.074374 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,       Intensity, 256px × 256: 0.080345 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,       Intensity, 256px × 256: 0.072757 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,       Intensity, 256px × 256: 0.073546 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,       Intensity, 256px × 256: 0.075179 seconds (2 allocations: 512.047 KiB)
             EmissionRegion,       Intensity, 256px × 256: 0.074827 seconds (2 allocations: 512.047 KiB)
