bk_jet_image()
             EmissionRegion,       Intensity, 512px × 512: 0.070947 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,       Intensity, 512px × 512: 0.010524 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,       Intensity, 512px × 512: 0.004309 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,       Intensity, 512px × 512: 0.011222 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,   SpectralIndex, 512px × 512: 0.124817 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,   SpectralIndex, 512px × 512: 0.017921 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,   SpectralIndex, 512px × 512: 0.006884 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,   SpectralIndex, 512px × 512: 0.018649 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,    OpticalDepth, 512px × 512: 0.063793 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,    OpticalDepth, 512px × 512: 0.009296 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,    OpticalDepth, 512px × 512: 0.004194 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,    OpticalDepth, 512px × 512: 0.015494 seconds (278 allocations: 1.009 MiB)
bk_jet_thick_options_image()
             EmissionRegion,       Intensity, 512px × 512: 0.012423 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,       Intensity, 512px × 512: 0.011473 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,       Intensity, 512px × 512: 0.014836 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,       Intensity, 512px × 512: 0.013674 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,       Intensity, 512px × 512: 0.012344 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,       Intensity, 512px × 512: 0.015412 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,       Intensity, 512px × 512: 0.015654 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,       Intensity, 512px × 512: 0.014334 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,       Intensity, 512px × 512: 0.014850 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,       Intensity, 512px × 512: 0.015120 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,       Intensity, 512px × 512: 0.014029 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,       Intensity, 512px × 512: 0.014521 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,       Intensity, 512px × 512: 0.022062 seconds (278 allocations: 1.009 MiB)
             EmissionRegion,       Intensity, 512px × 512: 0.014427 seconds (278 allocations: 1.009 MiB)
