moving_ellipsoid_image()
     MovingUniformEllipsoid,       Intensity, 256px × 256: 0.031143 seconds (2 allocations: 512.047 KiB)
     MovingUniformEllipsoid,       Intensity, 256px × 256: 0.026514 seconds (2 allocations: 512.047 KiB)
     MovingUniformEllipsoid,       Intensity, 256px × 256: 0.030652 seconds (2 allocations: 512.047 KiB)
     MovingUniformEllipsoid,       Intensity, 256px × 256: 0.015788 seconds (2 allocations: 512.047 KiB)
synchrotron_sphere_image()
   UniformSynchrotronSphere,       Intensity, 256px × 256: 0.031994 seconds (2 allocations: 512.047 KiB)
   UniformSynchrotronSphere,    OpticalDepth, 256px × 256: 0.019182 seconds (2 allocations: 512.047 KiB)
   UniformSynchrotronSphere,   SpectralIndex, 256px × 256: 0.046528 seconds (2 allocations: 512.047 KiB)
   UniformSynchrotronSphere,       Intensity, 256px × 256: 0.031813 seconds (2 allocations: 512.047 KiB)
   UniformSynchrotronSphere,    OpticalDepth, 256px × 256: 0.019436 seconds (2 allocations: 512.047 KiB)
   UniformSynchrotronSphere,   SpectralIndex, 256px × 256: 0.046800 seconds (2 allocations: 512.047 KiB)
   UniformSynchrotronSphere,       Intensity, 256px × 256: 0.038069 seconds (2 allocations: 512.047 KiB)
   UniformSynchrotronSphere,    OpticalDepth, 256px × 256: 0.019101 seconds (2 allocations: 512.047 KiB)
   UniformSynchrotronSphere,   SpectralIndex, 256px × 256: 0.063809 seconds (2 allocations: 512.047 KiB)
